id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000231956.1	2.986659026	-4.207002256	1.261391414	-3.33520762	0.000852357	0.007082662
ENSG00000227557.1	4.511960637	-4.196941617	1.314110392	-3.193751183	0.001404371	0.010614594
ENSG00000235397.1	4.572895648	-4.187232932	1.294159233	-3.235485113	0.001214362	0.009488755
ENSG00000248568.1	2.933572274	-4.183308087	1.618619376	-2.584491542	0.00975227	0.046924509
ENSG00000261734.1	4.674150215	-4.181735961	1.401052941	-2.984709455	0.002838478	0.018355646
ENSG00000169439.10	22.34299853	-4.181372203	0.862611232	-4.847342633	1.25E-06	3.01E-05
ENSG00000174482.9	6.541645192	-4.179918828	1.207193525	-3.462509316	0.000535163	0.004870295
ENSG00000171532.4	2.953303945	-4.177291663	1.704058713	-2.451377778	0.014231051	0.061960609
ENSG00000230184.1	9.116772832	-4.158072705	1.067257449	-3.896035307	9.78E-05	0.001226577
ENSG00000146950.11	2.888675213	-4.150891601	1.762973057	-2.354483856	0.018548449	0.075205762
ENSG00000232824.1	6.979372807	-4.145514151	1.094755365	-3.786703664	0.000152659	0.001772324
ENSG00000166448.13	2.87121493	-4.134081042	1.796944868	-2.300616517	0.021413317	0.083714627
ENSG00000204283.3	2.831263475	-4.124858759	1.651575763	-2.49752924	0.012506215	0.056204886
ENSG00000196376.9	2.815874914	-4.121482304	1.740205454	-2.368388338	0.017865772	0.073022661
ENSG00000232344.2	4.389676188	-4.114426697	1.16323608	-3.537052166	0.00040462	0.003886678
ENSG00000184956.14	2.82305426	-4.105236876	1.824155341	-2.250486448	0.024418083	0.091947562
ENSG00000238184.1	2.77418931	-4.103235593	1.346562938	-3.047191837	0.002309902	0.015613193
ENSG00000203995.8	2.753887465	-4.087698193	1.453682096	-2.811961572	0.004924039	0.027807359
ENSG00000258561.1	4.408119507	-4.085634367	1.275886481	-3.202192692	0.001363857	0.010375687
ENSG00000268049.1	4.280177047	-4.078213143	1.537458356	-2.652568199	0.007988199	0.040395035
ENSG00000184194.5	2.748361483	-4.069757874	1.664071568	-2.445662767	0.014458617	0.062622703
ENSG00000201078.1	2.69503501	-4.059721022	1.65843689	-2.447920114	0.014368351	0.062386537
ENSG00000224357.1	2.71426371	-4.056933036	1.422526489	-2.851920908	0.004345591	0.025324712
ENSG00000279354.1	2.703622459	-4.0543385	1.584196744	-2.559239259	0.010490152	0.049539845
ENSG00000280065.1	2.688190224	-4.039734478	1.731565549	-2.33299541	0.019648386	0.078538659
ENSG00000279082.2	5.579946241	-4.0392981	1.347676173	-2.997231961	0.002724433	0.017783078
ENSG00000279020.1	2.650712427	-4.039229424	1.696805002	-2.380491229	0.017289573	0.071408345
ENSG00000167800.9	2.645375426	-4.034264297	1.832358351	-2.201678669	0.027688015	0.100613084
