id	group_1_sample_10_SRR988501_PE	group_1_sample_11_SRR988500_PE	group_1_sample_12_SRR988499_PE	group_1_sample_1_SRR988510_PE	group_1_sample_2_SRR988509_PE	group_1_sample_3_SRR988508_PE	group_1_sample_4_SRR988507_PE	group_1_sample_5_SRR988506_PE	group_1_sample_6_SRR988505_PE	group_1_sample_7_SRR988504_PE	group_1_sample_8_SRR988503_PE	group_1_sample_9_SRR988502_PE
ENSG00000000003.13	37.44	0.00	7.19	9.00	2.00	6.00	23.95	3.55	24.01	2.00	26.00	2.00
ENSG00000000419.11	221.00	150.00	234.00	237.00	109.00	86.00	268.00	296.00	183.00	52.00	194.00	135.00
ENSG00000000457.12	942.03	512.26	848.97	746.26	560.50	475.12	800.55	875.43	511.69	181.07	793.44	443.95
ENSG00000000460.15	387.99	85.38	413.52	349.03	254.39	159.08	312.99	321.65	346.52	75.47	376.94	128.19
ENSG00000000938.11	5813.00	2515.00	7148.00	6282.00	3404.00	2852.00	4631.00	6488.00	4492.00	1761.00	8684.00	3110.00
ENSG00000000971.14	49.00	23.00	156.00	78.00	14.00	26.00	142.00	114.00	102.00	12.00	40.00	42.00
ENSG00000001036.12	109.37	68.63	225.54	165.85	106.95	83.87	145.58	102.58	60.62	47.00	222.17	104.00
ENSG00000001084.9	480.30	96.00	374.05	408.21	436.31	139.97	375.58	304.00	237.00	90.00	407.53	157.00
ENSG00000001167.13	988.00	237.00	1108.00	671.00	836.00	254.00	528.00	556.00	587.00	166.00	855.00	274.00
ENSG00000001460.16	53.18	5.12	57.74	39.02	55.98	15.00	55.09	24.00	62.91	3.00	46.17	13.04
ENSG00000001461.15	733.00	71.00	475.00	302.00	734.00	190.00	530.00	192.00	419.00	84.00	514.00	88.00
ENSG00000001497.15	270.00	26.00	106.00	133.00	139.00	44.00	201.00	85.00	168.00	23.00	139.00	49.00
ENSG00000001561.6	867.00	258.00	940.00	752.00	369.00	341.00	1172.00	570.00	413.00	217.00	501.00	281.00
ENSG00000001617.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
ENSG00000001626.13	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000001629.8	734.00	148.00	684.00	609.00	735.00	225.00	879.00	382.00	415.00	106.00	789.00	189.00
ENSG00000001630.14	423.25	121.65	311.24	263.78	362.70	238.84	775.53	230.42	272.90	153.00	321.07	281.97
ENSG00000001631.13	751.14	168.00	756.95	636.56	877.49	286.40	779.85	471.55	401.09	182.73	696.85	247.15
ENSG00000002016.15	258.00	25.00	204.00	174.00	269.00	68.00	206.00	109.00	118.00	32.00	305.00	68.00
ENSG00000002330.12	37.76	11.94	59.34	40.40	15.29	9.00	19.43	25.18	21.24	9.00	26.28	5.56
ENSG00000002549.11	804.00	1757.00	581.00	551.00	580.00	2166.00	419.00	3928.00	129.00	1408.00	564.00	4151.00
ENSG00000002586.16	433.00	65.00	466.00	340.00	658.00	125.00	453.00	232.00	351.00	62.00	642.00	123.00
ENSG00000002587.8	90.04	7.00	121.06	28.00	55.00	13.00	23.01	6.00	17.00	20.00	110.41	18.01
ENSG00000002726.18	39.00	9.00	8.00	49.00	0.00	11.00	12.00	35.00	14.00	2.00	15.00	8.00
ENSG00000002745.11	34.00	7.00	47.00	40.00	30.00	19.00	61.00	12.00	12.00	1.00	33.00	6.00
ENSG00000002746.13	0.00	1.00	9.67	1.00	1.03	0.00	2.00	1.96	1.00	0.00	2.53	1.00
ENSG00000002822.14	187.00	27.00	185.00	102.00	92.00	35.00	97.00	52.00	68.00	35.00	128.00	19.00
ENSG00000002834.16	9645.44	1765.00	8684.03	5959.26	6046.07	3142.88	5931.13	7766.74	5802.10	1532.21	12785.46	3817.40
ENSG00000002919.13	434.23	139.00	352.19	333.30	299.06	169.00	240.00	327.00	245.10	66.00	405.00	152.00
ENSG00000002933.6	935.00	152.00	453.00	934.00	50.00	159.00	411.00	907.00	446.00	129.00	395.00	415.00
ENSG00000003056.6	2563.43	574.91	2143.65	1843.72	1558.66	802.83	2349.21	1640.04	1110.47	739.40	2246.58	807.48
ENSG00000003096.12	23.00	4.00	8.00	14.00	3.00	3.00	34.00	2.00	13.00	1.00	14.00	6.00
ENSG00000003137.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
ENSG00000003147.16	37.00	0.00	23.00	10.00	17.00	3.00	28.00	9.00	0.00	1.00	28.00	1.00
ENSG00000003249.12	34.00	6.00	11.00	23.00	13.00	16.00	19.00	18.00	24.00	5.00	65.00	2.00
ENSG00000003393.13	336.00	86.00	434.00	518.00	440.00	105.00	459.00	167.00	201.00	97.00	483.00	80.00
ENSG00000003400.13	1655.42	881.26	1312.99	1177.51	1077.25	1070.65	1430.13	1767.22	924.08	549.00	1656.87	1202.80
ENSG00000003402.18	21949.50	5862.86	22149.48	22373.49	17866.37	7432.63	14629.98	14754.23	14412.10	3260.00	23769.65	9371.78
ENSG00000003436.13	414.94	84.08	402.19	452.49	293.26	171.46	473.93	245.47	267.56	55.86	438.47	158.01
ENSG00000003509.14	139.84	32.83	256.75	201.44	108.60	50.16	162.86	89.18	87.79	61.99	190.61	56.66
ENSG00000003756.15	6710.63	1422.44	7760.36	5743.59	4899.37	1902.47	5733.12	3757.91	4059.86	1309.40	7034.61	1955.60
ENSG00000003987.12	171.09	26.00	143.27	210.84	88.27	62.43	184.25	55.32	117.66	42.00	145.40	27.00
ENSG00000003989.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
ENSG00000004059.9	244.46	74.91	120.77	219.78	157.10	72.24	179.73	210.97	149.56	58.91	215.70	96.61
ENSG00000004139.12	328.20	16.70	186.15	177.89	204.97	29.03	124.47	82.61	86.27	45.78	274.99	29.35
ENSG00000004142.10	709.00	142.00	603.00	515.00	389.00	211.00	813.00	402.00	342.00	157.00	558.00	191.00
ENSG00000004399.11	292.00	18.00	296.00	277.00	458.00	47.00	218.00	70.00	212.00	45.00	392.00	30.00
ENSG00000004455.15	3400.59	797.42	3477.66	3032.76	1859.26	1095.09	3069.88	1802.45	1525.03	1064.86	3076.28	1274.46
ENSG00000004468.11	1114.00	411.00	788.70	866.21	527.01	924.90	1161.11	966.02	542.15	550.00	1089.06	662.00
ENSG00000004478.7	846.00	157.00	944.00	657.00	456.00	445.00	996.09	2062.98	609.00	180.00	856.00	2890.00
ENSG00000004487.14	883.00	100.00	839.00	847.00	775.00	242.00	1153.00	367.00	471.00	137.00	843.00	192.00
ENSG00000004534.13	1764.98	160.00	1365.39	981.45	909.63	419.12	1534.99	676.00	718.52	168.00	1456.42	525.84
ENSG00000004660.13	95.30	21.00	191.07	104.59	35.64	32.53	78.22	67.25	79.26	18.00	171.93	30.34
ENSG00000004700.14	727.27	311.27	820.91	707.57	520.34	294.82	1036.81	869.81	363.50	341.59	668.45	481.98
ENSG00000004766.14	789.04	220.00	793.02	740.01	551.33	239.60	834.03	525.00	437.91	179.00	835.00	327.00
ENSG00000004776.10	3.00	0.00	1.00	1.61	0.00	0.00	0.00	2.00	0.00	0.00	2.00	0.00
ENSG00000004777.17	2.00	0.00	17.00	3.00	9.00	3.00	27.00	0.00	0.00	0.00	11.00	0.00
ENSG00000004779.8	205.00	47.00	178.00	81.00	44.00	52.00	141.00	119.00	86.00	73.00	152.00	74.00
ENSG00000004799.7	241.00	57.00	411.00	472.00	490.00	56.00	222.00	253.00	356.00	41.00	636.00	150.00
ENSG00000004809.12	6.00	1.00	1.00	28.00	1.00	3.00	19.00	17.00	9.00	13.00	20.00	9.00
ENSG00000004838.12	109.16	3.00	8.02	11.00	19.65	2.13	19.96	5.00	18.00	0.00	19.00	8.00
ENSG00000004846.15	10.20	3.01	12.73	7.90	5.14	3.27	4.26	3.00	4.88	0.00	6.90	3.99
ENSG00000004864.12	92.00	22.00	162.00	135.00	102.00	30.00	57.00	63.00	47.00	28.00	136.00	25.00
ENSG00000004866.17	51.07	20.00	34.71	52.61	76.00	28.00	55.13	78.00	81.00	21.00	132.00	39.00
ENSG00000004897.10	1914.95	825.00	1784.09	2135.91	1408.37	816.00	1714.97	2476.96	1015.91	585.00	2074.76	1386.00
ENSG00000004939.12	14624.29	3003.00	4232.06	19261.01	1752.00	3053.00	2460.98	18596.00	11361.00	1851.00	8606.28	8672.00
ENSG00000004961.13	215.00	112.00	338.00	197.00	147.00	141.00	192.00	233.00	199.00	55.00	452.00	189.00
ENSG00000004975.10	97.00	3.00	91.00	63.00	87.00	22.00	61.00	40.00	39.00	21.00	56.00	28.00
ENSG00000005001.8	0.00	0.00	0.00	1.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
ENSG00000005007.11	462.00	62.00	661.00	293.00	442.00	128.00	545.00	277.00	218.00	84.00	428.00	149.00
ENSG00000005020.11	1433.00	1141.00	2377.00	1213.00	1429.00	794.03	1633.00	1442.00	741.00	609.00	2403.00	1028.00
ENSG00000005022.5	309.99	149.00	306.00	314.00	338.00	290.00	517.98	479.00	312.98	141.00	548.99	316.00
ENSG00000005059.14	939.00	235.00	1098.00	653.00	888.00	319.00	879.00	588.00	387.00	301.00	769.00	268.00
ENSG00000005075.14	194.16	42.95	221.03	279.23	123.31	99.04	191.77	247.46	219.34	75.61	443.77	124.07
ENSG00000005100.11	86.00	21.00	124.00	76.00	189.00	24.01	111.00	54.00	50.00	18.00	126.00	16.00
ENSG00000005102.11	7.00	4.00	16.00	16.00	13.00	5.00	40.00	15.00	13.00	15.00	4.00	9.00
ENSG00000005108.14	2.00	0.00	14.00	9.00	0.00	11.00	0.00	12.00	9.00	0.00	37.00	6.00
ENSG00000005156.10	952.55	156.19	843.13	699.58	791.29	190.45	877.30	378.39	577.17	129.23	992.89	157.52
ENSG00000005175.8	911.00	525.00	1319.00	1198.00	967.00	566.00	1336.00	1128.00	794.00	372.00	1285.00	601.00
ENSG00000005187.10	174.25	35.07	211.60	122.68	158.77	33.01	80.13	65.34	109.95	71.44	223.81	45.12
ENSG00000005189.18	21.00	6.00	23.00	20.00	10.00	9.00	14.00	12.00	5.00	17.00	14.00	4.00
ENSG00000005194.13	377.00	36.00	198.00	237.00	245.00	99.00	280.00	195.00	141.00	75.00	218.00	68.00
ENSG00000005206.15	147.00	18.00	92.00	42.27	45.00	36.00	104.00	36.00	60.00	19.00	113.00	21.00
ENSG00000005238.18	817.00	161.00	644.00	796.00	396.00	182.00	294.00	555.00	437.00	156.00	874.00	224.00
ENSG00000005243.8	13.00	1.00	4.00	16.00	0.00	9.00	2.00	6.00	2.00	0.00	8.00	5.00
ENSG00000005249.11	876.00	712.00	768.00	1259.00	885.00	619.00	1024.00	2016.00	1074.00	395.00	1027.00	1028.00
ENSG00000005302.16	1983.00	823.00	1617.00	2021.00	1590.00	784.00	1703.00	1666.00	1221.00	310.00	1786.00	911.00
ENSG00000005339.11	3446.60	565.12	3135.43	2048.56	3340.08	959.01	2230.04	2196.02	2716.10	372.00	4898.95	1105.72
ENSG00000005379.14	281.00	8.00	182.00	95.00	107.00	41.00	196.00	58.00	65.00	18.00	226.00	32.00
ENSG00000005381.7	45.00	16.00	69.00	83.00	27.00	27.00	55.00	68.00	27.00	18.00	94.00	7.00
ENSG00000005421.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
ENSG00000005436.12	361.00	62.00	488.00	364.00	415.85	104.80	558.00	154.00	257.92	80.00	330.00	69.00
ENSG00000005448.15	82.00	2.00	85.00	51.00	54.00	9.00	118.05	16.00	8.00	2.00	66.84	14.00
ENSG00000005469.10	166.00	37.00	167.00	112.00	148.00	56.00	242.00	80.00	86.00	28.00	147.00	41.00
ENSG00000005471.14	109.00	7.00	36.00	29.00	71.00	25.00	46.00	20.00	13.00	3.00	37.00	13.00
ENSG00000005483.18	5375.00	1159.00	6586.00	6037.00	5854.99	1751.00	5362.00	3309.00	4149.97	1051.00	6718.93	1600.00
ENSG00000005486.15	362.00	53.00	382.00	267.00	140.00	124.00	220.00	245.00	219.00	55.00	517.00	178.00
ENSG00000005513.9	8.00	2.00	5.00	7.00	5.00	1.00	11.00	3.00	1.00	0.00	11.00	6.00
ENSG00000005700.13	1125.00	345.00	1440.00	1200.00	963.00	421.00	1441.00	835.00	597.00	297.00	1130.00	434.00
ENSG00000005801.15	810.00	113.00	648.00	618.00	465.00	170.00	679.00	301.00	438.00	126.00	641.00	171.00
ENSG00000005810.16	6659.55	1266.00	7159.23	5327.99	6838.20	2631.87	6863.09	4580.33	4217.81	1367.55	7290.01	2249.92
ENSG00000005812.9	1956.15	804.16	2765.59	2213.59	1126.90	800.30	1936.21	1849.81	1613.13	654.60	2285.43	869.18
ENSG00000005844.16	5222.47	617.00	4718.00	3531.94	4652.91	1320.00	4455.00	2559.49	2125.67	621.00	4767.31	1088.00
ENSG00000005882.10	387.90	26.00	354.63	146.00	239.09	94.00	218.66	161.00	188.12	57.00	309.76	42.00
ENSG00000005884.16	46.58	6.00	38.81	45.66	22.64	15.03	81.95	13.60	22.74	9.00	66.55	5.05
ENSG00000005889.14	3528.00	794.00	3746.00	2651.00	1748.00	1093.00	3351.99	2090.00	2209.66	734.00	3423.00	967.00
ENSG00000005893.14	5726.31	4906.00	11074.86	7812.06	4281.41	4530.18	5992.20	10320.13	6966.60	2323.00	13941.06	5125.47
ENSG00000005961.16	211.00	42.00	142.00	206.00	122.00	75.00	88.00	298.00	322.00	35.00	324.03	88.00
ENSG00000005981.11	3.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
ENSG00000006007.10	1718.63	469.84	2150.20	1569.00	761.99	400.08	1124.68	1120.45	949.18	402.92	1748.00	495.10
ENSG00000006015.16	357.04	19.00	186.98	149.95	188.04	61.10	192.08	88.09	114.38	46.02	233.08	75.00
ENSG00000006016.9	11.93	0.00	9.02	7.17	3.08	5.25	9.46	2.64	8.09	0.00	20.17	3.12
ENSG00000006025.10	235.00	10.00	90.00	102.00	129.00	31.00	44.00	32.00	97.00	10.00	106.00	12.00
ENSG00000006042.10	2.98	0.00	3.96	4.38	5.48	2.00	9.07	1.00	4.15	0.00	2.00	1.05
ENSG00000006047.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
ENSG00000006062.12	158.82	16.88	71.45	68.85	133.02	48.83	74.23	72.39	117.40	22.00	279.18	36.04
ENSG00000006116.3	0.00	0.00	0.00	3.00	0.00	0.00	7.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006118.13	102.00	2.00	76.00	35.00	45.00	14.00	71.00	27.00	53.00	8.00	71.00	23.00
ENSG00000006125.15	1983.00	493.00	1735.00	2035.00	2137.00	897.00	1907.00	1934.00	1450.00	370.00	2775.00	890.00
ENSG00000006194.9	420.73	69.01	317.36	228.67	209.49	57.00	392.00	153.90	156.00	55.92	358.69	89.00
ENSG00000006210.6	3.03	0.00	4.00	3.00	1.96	0.00	0.00	0.00	0.00	0.00	1.46	1.00
ENSG00000006282.18	172.00	22.00	109.00	179.00	142.00	76.00	264.00	35.00	20.00	18.00	92.00	48.00
ENSG00000006327.12	52.00	12.00	74.00	13.00	16.00	5.00	61.00	25.00	11.00	8.00	49.00	3.00
ENSG00000006377.10	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
ENSG00000006432.14	184.95	11.00	53.71	92.57	156.95	39.01	91.71	30.95	78.93	7.00	131.04	23.04
ENSG00000006451.6	82.00	75.00	130.00	91.00	123.00	82.00	104.00	132.00	167.00	29.00	240.00	145.00
ENSG00000006453.12	105.00	40.00	104.00	116.00	103.00	65.00	192.61	90.00	87.00	35.00	151.01	82.00
ENSG00000006459.9	3366.00	1341.00	4507.00	4372.00	3232.00	1558.00	3281.00	2919.00	2925.00	941.00	4920.00	1323.00
ENSG00000006468.12	0.00	0.00	3.00	0.00	1.00	2.00	0.00	0.00	2.00	0.00	2.00	0.00
ENSG00000006530.14	889.00	95.00	728.00	662.00	654.00	292.00	1009.00	271.00	358.00	145.00	738.00	167.00
ENSG00000006534.14	438.71	73.12	412.07	441.05	313.53	96.06	306.35	176.90	181.51	61.06	477.40	68.60
ENSG00000006555.9	370.00	21.00	128.00	143.70	207.02	64.03	146.00	81.00	167.00	35.00	269.00	21.00
ENSG00000006576.15	668.00	335.00	925.00	789.00	582.00	293.00	1042.00	600.00	537.00	281.00	810.00	361.00
ENSG00000006607.12	433.14	107.80	300.66	339.35	422.39	161.89	352.84	173.50	149.40	176.01	356.61	149.89
ENSG00000006625.16	89.00	37.21	78.00	65.25	55.00	48.20	76.00	85.00	41.00	31.00	40.00	53.00
ENSG00000006634.6	306.82	39.00	357.22	275.75	190.96	81.89	342.76	166.00	114.90	99.91	256.07	57.72
ENSG00000006638.10	120.80	8.89	88.29	41.11	55.96	34.37	68.28	69.74	49.16	14.00	103.39	19.81
ENSG00000006652.12	1578.00	667.00	2455.00	1884.00	1015.00	410.00	978.00	1448.00	1394.96	354.00	2213.00	456.00
ENSG00000006659.11	13.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000006695.9	118.99	18.00	100.82	138.98	139.83	62.00	192.00	56.91	81.50	49.00	156.86	28.00
ENSG00000006704.9	3.00	0.00	1.00	8.00	1.00	1.00	1.00	0.00	3.00	0.00	0.18	0.00
ENSG00000006712.13	203.00	61.00	113.00	207.00	146.00	113.00	217.00	226.00	204.00	56.00	310.00	120.00
ENSG00000006715.14	608.46	270.00	1105.94	790.00	652.15	363.02	757.00	632.00	486.59	291.00	1031.00	357.00
ENSG00000006740.15	48.00	0.00	18.00	12.00	30.00	10.00	52.00	6.00	32.00	14.00	62.81	3.00
ENSG00000006744.17	293.62	38.00	379.95	196.00	290.00	65.98	255.98	114.00	138.00	77.00	270.00	85.00
ENSG00000006747.13	34.91	3.45	30.11	26.02	8.69	5.21	37.05	11.09	16.45	10.99	23.00	15.54
ENSG00000006756.14	290.70	47.45	173.00	210.01	203.62	41.97	160.03	95.51	83.45	69.11	263.28	64.00
ENSG00000006757.10	18.02	13.00	55.01	19.00	30.03	20.00	13.00	23.00	31.00	10.00	69.02	18.00
ENSG00000006788.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
ENSG00000006831.9	286.00	88.00	338.00	379.00	339.00	151.00	367.00	181.00	241.00	69.00	423.00	129.00
ENSG00000006837.10	3.23	0.00	7.63	15.39	15.00	2.01	17.89	2.40	9.75	0.92	7.79	0.97
ENSG00000007001.11	0.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
ENSG00000007038.9	1.00	3.00	17.00	1.00	3.00	3.00	12.00	2.00	5.00	1.00	2.00	0.00
ENSG00000007047.13	226.00	17.00	107.00	82.00	134.00	48.00	78.00	40.00	91.00	18.00	305.00	36.00
ENSG00000007062.10	0.00	0.00	3.00	1.00	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
ENSG00000007080.9	17.00	8.00	1.00	9.00	9.00	9.00	4.00	38.00	27.00	3.00	44.00	15.00
ENSG00000007129.16	214.00	41.00	172.00	100.00	161.00	39.00	95.00	168.00	64.00	28.00	120.00	70.00
ENSG00000007168.11	3058.00	772.00	3676.00	2640.92	3074.03	1090.00	2505.00	2254.00	2203.00	644.00	4139.00	1091.00
ENSG00000007171.15	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	1.00	0.00
ENSG00000007174.16	3.97	0.00	0.00	0.00	1.00	0.00	2.00	0.58	4.00	0.00	2.20	0.00
ENSG00000007202.13	1901.03	272.64	2131.26	1415.97	1749.06	551.00	1764.28	940.50	935.99	281.00	2141.83	490.95
ENSG00000007237.17	2063.41	418.00	1515.23	1786.68	2514.01	819.75	1593.66	1306.00	944.12	441.00	2302.12	633.01
ENSG00000007255.9	41.00	9.00	104.00	34.00	20.00	12.00	43.00	26.00	34.00	11.00	68.00	18.00
ENSG00000007264.12	194.00	5.00	91.00	60.00	63.00	15.00	183.00	13.00	57.00	7.00	106.00	6.00
ENSG00000007306.13	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000007312.11	235.00	26.00	240.00	84.00	131.00	46.00	175.00	59.00	63.00	37.00	183.00	22.00
ENSG00000007314.10	10.00	1.00	16.00	4.00	1.00	17.00	112.00	0.00	1.00	0.00	7.00	0.00
ENSG00000007341.17	958.45	286.72	1024.44	1146.25	574.28	441.00	732.33	870.37	759.00	276.28	1289.18	342.33
ENSG00000007350.15	150.00	9.00	66.00	106.00	37.00	20.00	135.00	15.00	43.00	14.00	110.00	9.00
ENSG00000007372.19	48.00	4.00	41.00	59.00	49.00	20.00	60.00	29.00	43.00	9.00	26.00	10.00
ENSG00000007376.6	31.00	1.00	8.00	15.00	5.00	11.00	27.00	6.00	19.00	2.00	21.00	6.00
ENSG00000007384.14	6.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	0.00
ENSG00000007392.15	1336.03	128.00	1616.00	811.00	1149.01	340.00	1347.97	281.00	685.00	143.00	1215.00	271.00
ENSG00000007402.10	70.00	4.00	33.00	33.00	107.00	6.00	65.00	5.00	51.00	0.00	57.00	4.00
ENSG00000007516.12	61.55	7.35	62.12	45.26	21.65	9.60	46.55	15.81	29.75	6.33	45.60	3.31
ENSG00000007520.3	96.45	15.65	74.88	52.74	42.35	17.40	115.45	25.19	37.25	17.67	52.40	36.69
ENSG00000007541.13	210.97	42.00	176.00	93.00	90.00	49.00	80.00	109.00	96.00	36.00	162.00	57.00
ENSG00000007545.14	295.01	21.13	234.75	59.69	158.55	45.97	256.59	92.11	108.04	48.00	203.79	76.00
ENSG00000007866.17	9.00	0.00	0.00	1.00	1.00	0.00	7.00	2.00	1.00	0.00	4.00	3.00
ENSG00000007908.14	11.00	2.00	0.00	2.00	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
ENSG00000007923.14	266.59	33.68	264.73	119.34	173.79	78.78	276.22	92.00	127.60	30.00	237.48	82.00
ENSG00000007933.11	2.00	0.00	0.00	2.00	7.97	1.00	4.00	0.00	0.00	0.00	1.00	0.99
ENSG00000007944.13	1673.00	521.00	2359.00	2010.00	986.00	515.00	1769.00	1324.00	761.00	461.00	1677.00	782.00
ENSG00000007952.16	1.00	0.00	0.00	0.00	0.00	0.00	7.00	2.00	2.00	0.00	11.00	0.00
ENSG00000007968.6	1285.11	233.95	703.71	464.48	316.76	191.46	298.93	736.06	496.00	101.00	433.03	258.40
ENSG00000008018.8	229.00	118.00	318.00	332.00	362.00	105.00	379.00	283.00	208.00	90.00	302.00	164.00
ENSG00000008056.11	0.00	0.00	0.00	0.00	0.00	1.00	9.00	0.00	2.00	0.00	2.00	0.00
ENSG00000008083.12	1555.00	245.00	1881.00	1295.00	1625.00	414.00	1121.00	496.00	1095.00	218.00	2038.00	358.00
ENSG00000008086.9	1156.06	267.81	1227.96	1208.00	869.21	485.73	834.82	868.48	831.86	240.12	1663.42	368.15
ENSG00000008128.21	275.16	22.14	204.85	135.84	158.34	41.88	86.72	129.21	108.22	11.10	152.09	45.22
ENSG00000008130.14	2225.00	1121.00	3361.00	1957.00	1415.00	1296.00	1530.00	3466.00	1673.00	693.00	3087.00	1866.00
ENSG00000008196.11	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
ENSG00000008197.4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
ENSG00000008226.18	27.63	2.64	50.99	50.82	57.75	6.09	16.01	14.10	32.85	2.27	48.86	1.50
ENSG00000008256.14	97.00	20.00	87.00	103.00	96.00	19.00	96.00	46.00	49.00	6.00	116.00	28.00
ENSG00000008277.13	255.00	44.00	319.00	257.00	204.00	78.00	255.00	92.00	215.00	48.00	276.00	69.00
ENSG00000008282.6	904.00	600.00	827.00	612.00	748.00	753.00	1018.00	1408.00	967.00	325.00	1659.00	620.00
ENSG00000008283.14	288.01	97.00	192.59	153.79	203.00	157.00	249.19	200.00	86.05	80.00	198.40	122.00
ENSG00000008294.19	2663.59	855.97	4277.49	2978.50	1936.11	946.92	2619.73	2271.95	2538.19	576.00	3448.04	1070.98
ENSG00000008300.13	46.00	5.00	15.00	28.00	25.00	20.00	50.00	13.00	11.00	13.00	14.00	1.00
ENSG00000008311.13	78.53	3.00	81.18	85.08	38.00	14.88	89.11	39.39	58.30	3.98	99.09	22.07
ENSG00000008323.14	72.00	10.00	55.00	53.00	30.00	25.00	14.00	36.00	53.00	8.00	99.00	27.00
ENSG00000008324.9	59.00	29.00	68.00	69.00	85.00	33.00	76.00	60.00	65.00	5.00	65.00	49.00
ENSG00000008382.14	18.00	2.00	17.00	16.67	11.00	6.00	21.00	17.00	12.00	1.00	19.34	10.00
ENSG00000008394.11	161.84	123.05	329.67	196.86	70.38	137.42	201.77	239.14	187.06	85.47	306.45	130.00
ENSG00000008405.10	210.00	30.00	170.00	139.00	134.00	68.00	263.00	121.00	102.00	34.00	209.00	48.00
ENSG00000008438.4	194.00	58.00	300.00	372.00	61.00	96.00	105.00	202.00	172.00	47.00	326.00	56.00
ENSG00000008441.15	1973.00	527.00	881.00	1728.00	407.00	640.00	299.00	2708.00	1496.00	379.00	1821.00	1693.00
ENSG00000008513.13	2277.00	365.00	2030.00	1544.00	1389.00	481.00	1767.00	1016.00	996.00	304.00	1832.41	422.00
ENSG00000008516.15	2166.31	213.33	2128.12	1028.17	2552.68	227.49	634.00	812.46	1280.94	116.00	2553.44	421.02
ENSG00000008517.15	1426.00	130.00	1229.00	998.00	1189.00	431.00	1575.00	979.00	816.00	284.00	974.00	336.00
ENSG00000008710.16	315.37	6.15	243.33	120.95	162.91	61.13	202.34	70.90	98.04	34.35	309.27	33.41
ENSG00000008735.13	21.16	0.00	2.37	1.00	3.28	1.00	1.80	0.00	0.28	0.00	0.97	1.00
ENSG00000008838.16	282.07	15.00	131.00	122.00	88.00	45.00	146.20	90.00	64.00	27.00	146.00	43.00
ENSG00000008853.15	253.13	45.91	148.97	89.39	149.74	82.84	188.09	97.20	109.66	15.18	310.53	67.09
ENSG00000008869.10	1292.00	187.00	1392.00	1139.00	1022.00	307.00	1296.00	745.00	823.00	194.00	1466.00	245.00
ENSG00000008952.15	1238.00	606.00	930.87	1530.00	876.94	469.00	1272.00	1598.53	1103.00	433.00	1270.19	1023.00
ENSG00000008988.8	2317.65	374.12	1739.27	1912.02	1150.45	698.07	3046.80	1229.44	1607.46	466.56	1581.49	556.47
ENSG00000009307.14	4692.10	1129.96	4848.90	4361.27	5720.96	1281.97	4213.83	2758.97	2409.97	986.97	4228.04	1464.96
ENSG00000009335.16	882.68	138.00	800.39	697.48	779.03	293.00	782.13	386.00	548.00	172.00	821.49	225.00
ENSG00000009413.14	2922.84	286.18	3933.68	3202.70	2600.70	816.05	3014.45	1324.24	2476.52	397.77	3290.51	566.28
ENSG00000009694.12	985.00	47.00	759.58	1033.51	787.70	148.00	1135.37	247.88	607.54	76.00	1034.47	124.00
ENSG00000009709.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
ENSG00000009724.15	260.00	34.00	321.00	212.00	321.00	72.00	375.00	75.00	196.00	26.00	326.00	26.00
ENSG00000009765.13	11.87	0.00	8.83	10.93	10.23	2.97	9.05	4.85	13.04	1.13	21.38	0.00
ENSG00000009780.14	168.00	24.00	194.00	100.00	129.00	31.00	160.00	91.00	130.00	39.00	131.00	30.00
