id	group_1_sample_10_SRR988501_PE	group_1_sample_11_SRR988500_PE	group_1_sample_12_SRR988499_PE	group_1_sample_1_SRR988510_PE	group_1_sample_2_SRR988509_PE	group_1_sample_3_SRR988508_PE	group_1_sample_4_SRR988507_PE	group_1_sample_5_SRR988506_PE	group_1_sample_6_SRR988505_PE	group_1_sample_7_SRR988504_PE	group_1_sample_8_SRR988503_PE	group_1_sample_9_SRR988502_PE
ENSG00000156218.11	1540.34	303.60	1619.68	1462.99	971.29	575.31	1555.66	786.31	1079.12	218.30	1746.23	423.48
ENSG00000156219.15	3.00	0.00	1.00	1.00	1.00	2.00	4.12	2.00	6.00	0.00	2.00	1.00
ENSG00000156222.10	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
ENSG00000156232.7	506.32	96.00	484.23	323.82	524.22	165.01	507.61	283.71	251.55	85.27	495.92	232.09
ENSG00000156234.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
ENSG00000156239.10	209.00	22.00	157.00	145.00	81.00	68.00	207.00	65.00	89.00	26.00	165.00	44.00
ENSG00000156253.5	186.00	40.00	152.01	101.01	188.00	60.00	163.01	59.21	42.00	46.00	62.01	46.00
ENSG00000156256.13	1171.00	379.00	943.00	968.00	643.00	387.00	1300.00	795.00	547.00	265.00	927.00	399.00
ENSG00000156261.11	611.00	298.00	557.00	571.00	448.99	390.00	694.00	747.00	341.00	205.00	711.00	626.00
ENSG00000156265.14	159.95	265.00	390.00	261.00	120.23	236.01	461.00	444.00	266.00	122.00	304.99	487.00
ENSG00000156273.14	6498.28	4599.00	10102.00	11708.00	4861.00	4489.39	7427.00	10780.00	7133.00	2583.00	11676.38	4909.00
ENSG00000156298.11	36.00	7.00	2.00	9.00	6.00	7.00	3.00	25.00	9.00	1.00	7.00	11.00
ENSG00000156299.11	689.01	92.00	811.50	662.00	960.00	208.00	873.00	470.00	603.99	153.00	712.00	172.00
ENSG00000156304.13	1189.00	163.00	1349.00	632.00	1080.00	301.00	1052.00	543.00	892.00	164.00	1441.00	309.00
ENSG00000156313.11	375.00	129.00	793.00	431.00	328.00	164.00	428.00	287.00	432.00	161.00	680.00	112.00
ENSG00000156345.16	41.00	6.00	49.00	20.00	42.00	11.00	36.00	15.00	34.00	11.00	63.00	7.00
ENSG00000156374.13	108.00	12.00	129.20	74.00	62.00	26.00	100.00	62.00	51.00	41.00	118.00	23.00
ENSG00000156381.7	153.50	13.66	162.55	168.92	91.73	32.63	104.44	64.81	69.88	5.52	132.44	35.01
ENSG00000156384.13	73.00	15.00	86.98	50.00	57.01	21.00	112.16	45.16	22.00	23.00	61.00	38.00
ENSG00000156395.11	1.00	2.00	1.00	5.00	3.00	1.00	4.00	11.00	9.00	5.00	12.00	0.00
ENSG00000156398.11	118.01	4.00	50.09	47.00	79.00	16.00	95.59	13.00	50.03	5.00	81.04	18.00
ENSG00000156411.8	155.00	71.00	159.07	126.02	87.05	48.01	231.14	200.99	107.12	65.00	196.06	112.00
ENSG00000156413.12	7.00	0.00	14.06	3.09	2.38	0.00	2.98	0.78	10.75	0.00	8.71	2.10
ENSG00000156414.17	69.00	21.00	43.00	136.00	28.00	27.00	23.00	23.00	26.00	4.00	45.00	8.00
ENSG00000156427.7	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
ENSG00000156453.12	64.00	1.00	3.00	30.00	4.00	3.00	14.00	5.00	12.00	4.00	20.00	12.00
ENSG00000156463.16	1.00	3.00	5.27	2.76	0.00	2.00	26.56	0.00	1.89	0.00	4.00	0.96
ENSG00000156467.8	751.17	116.00	917.79	562.06	496.06	197.48	636.00	388.09	486.27	146.01	691.23	206.63
ENSG00000156469.7	97.00	15.00	54.00	54.00	31.00	20.00	96.00	28.00	38.00	10.00	46.00	18.00
ENSG00000156471.11	1072.00	137.00	826.03	741.00	655.00	283.00	1017.00	462.00	379.00	251.00	745.00	222.00
ENSG00000156475.17	283.00	12.00	362.00	209.00	244.00	66.00	528.00	87.00	211.00	39.00	215.00	27.00
ENSG00000156482.9	8968.23	2009.80	7713.28	6627.53	3459.45	2162.08	10026.35	8317.60	4836.59	2987.54	7144.56	3333.89
ENSG00000156486.7	10.00	7.00	3.00	15.00	1.00	9.00	3.00	38.00	10.00	10.00	9.00	3.00
ENSG00000156500.13	102.62	57.00	109.94	41.45	117.17	83.26	84.97	136.92	48.62	24.40	90.57	83.00
ENSG00000156502.12	247.92	33.00	168.81	147.22	186.01	60.00	319.00	72.02	71.00	56.00	234.05	56.13
ENSG00000156504.15	424.00	127.00	334.00	340.00	316.00	167.00	567.00	242.00	300.00	133.00	374.00	124.00
ENSG00000156508.16	65878.87	15557.18	59421.48	45596.51	50880.18	15232.29	75901.87	43092.17	29314.76	19227.99	52990.23	23848.71
ENSG00000156509.12	7.18	1.00	3.66	13.02	9.78	2.48	7.20	4.38	3.43	2.14	7.37	2.14
ENSG00000156510.12	27.00	0.00	38.00	9.00	31.00	0.00	8.00	5.00	4.00	0.00	1.00	0.00
ENSG00000156515.20	453.00	112.00	382.00	292.00	339.00	160.00	272.00	332.00	266.01	76.00	428.07	218.00
ENSG00000156521.12	300.00	25.00	241.00	165.00	142.00	80.00	216.00	91.00	134.00	33.00	294.00	79.00
ENSG00000156531.15	535.56	176.00	631.54	554.78	363.32	264.13	817.39	439.12	425.88	157.00	662.74	302.13
ENSG00000156535.12	52.22	8.00	27.51	23.00	34.21	2.00	22.25	20.00	21.00	8.00	38.02	8.00
ENSG00000156564.8	2.00	0.00	3.00	0.00	1.00	0.00	3.00	1.00	0.00	0.00	1.00	0.00
ENSG00000156574.8	26.41	1.21	4.38	5.77	0.00	0.00	8.00	7.00	7.00	1.00	21.60	0.00
ENSG00000156587.14	1870.00	2995.00	1195.00	1460.00	1439.00	3634.00	1623.00	6398.00	650.00	1626.00	2006.00	4370.00
ENSG00000156599.9	1143.00	212.00	1055.00	603.00	1025.00	301.00	670.00	542.00	443.00	171.00	935.00	234.00
ENSG00000156603.13	16.00	11.00	51.00	36.00	43.00	8.00	61.00	16.00	13.00	5.00	26.00	13.00
ENSG00000156639.10	672.00	170.00	526.00	493.00	923.00	340.00	472.00	729.00	655.50	100.00	1165.00	356.00
ENSG00000156642.15	943.00	528.00	1197.00	1265.00	638.00	535.00	910.00	1322.00	874.00	287.00	1103.00	588.00
ENSG00000156650.11	982.00	108.00	1032.00	836.00	939.00	254.00	1123.00	282.00	709.00	120.00	1192.00	127.00
ENSG00000156671.11	2006.00	792.00	2224.00	2118.02	978.00	723.00	1622.00	1855.00	1223.00	470.00	1991.00	820.00
ENSG00000156675.14	5367.01	827.89	6085.94	4158.30	4638.95	1244.96	3077.40	2805.04	3238.39	730.00	6404.28	1069.34
