id	sample_12_SRR988499_PE	sample_10_SRR988501_PE	sample_8_SRR988503_PE	sample_6_SRR988505_PE	sample_4_SRR988507_PE	sample_11_SRR988500_PE	sample_9_SRR988502_PE	sample_7_SRR988504_PE	sample_5_SRR988506_PE	sample_3_SRR988508_PE	sample_2_SRR988509_PE	sample_1_SRR988510_PE
Group	Pre-challenge	Pre-challenge	Pre-challenge	Pre-challenge	Pre-challenge	Post-challenge	Post-challenge	Post-challenge	Post-challenge	Post-challenge	Unchallenged control	Unchallenged control
ENSG00000000003.13	0.15	0.94	0.47	1.46	0.67	0	0.1	0.34	0.09	0.35	0.05	0.24
ENSG00000000419.11	16.83	14	9.83	16.51	20.62	31.24	15.93	12.93	19.44	13.36	10.56	16.09
ENSG00000000457.12	11.65	12.17	8.15	10.34	10.95	24.81	13.06	10	12.74	14.63	12.27	9.93
ENSG00000000460.15	11.05	9.21	8.6	15.18	10.99	6.11	4.45	6.63	9.38	8.54	9.02	9.75
ENSG00000000938.11	192.07	146.21	179.94	165.64	146.17	197.29	152.08	173.96	168.43	173.79	138.08	176.45
ENSG00000000971.14	4.49	1.57	0.73	3.47	2.41	1.82	3.92	1.63	1.61	1.33	0.47	1.68
ENSG00000001036.12	7.25	3.2	6.69	2.86	5.37	5.53	6.21	4.65	2.78	6.82	5.4	5.64
ENSG00000001084.9	23.45	20.6	13.65	11.43	15.17	9.65	12.77	12.19	15.6	18.54	26.73	18.68
ENSG00000001167.13	17.53	14.68	10.79	13.76	10	11.56	7.84	9.73	8.6	10.32	24.59	11.14
ENSG00000001460.16	4.54	1.28	1.91	1.7	1.34	0.51	0.46	0.25	1.08	1.7	2.57	0.94
ENSG00000001461.15	10.5	13.25	7.34	11.08	11.07	3.43	2.93	5.79	3.3	7.83	16.94	6.32
ENSG00000001497.15	2.68	5.62	1.77	5.86	4.86	1.74	2.98	2.66	2.14	1.93	3.02	2.77
ENSG00000001561.6	11.95	10.31	4.97	7.21	17.71	9.92	6.52	10.29	7.14	10.14	6.97	9.98
ENSG00000001629.8	14.47	24.13	19	15.52	26.88	7.88	8.09	5.59	7.56	11.65	25.82	17.06
ENSG00000001630.14	7.62	9.43	5.72	9.19	22.64	9.86	11.83	12.56	8.07	12.91	13.22	7.82
ENSG00000001631.13	34.79	27.57	21.75	21.34	20.69	11.79	14.09	15.39	13.58	20.95	41.81	25.69
ENSG00000002016.15	17.06	23.91	18.42	10.4	12.96	4.49	13.16	25.19	4.91	14.46	39.67	13.16
ENSG00000002330.12	5.43	3.65	1.77	2.99	3.47	3.21	0.84	2.73	1.99	2.39	3.35	5.41
ENSG00000002549.11	26.97	31.98	22.01	9.65	20.23	223.4	297.74	212.77	159.53	218.48	47.33	26.18
ENSG00000002586.16	30.14	24.82	28.78	28.41	31.18	11.44	12.84	13.95	13.26	16.77	58.36	20.57
ENSG00000002726.18	0.19	1.04	0.43	0.56	0.36	0.7	0.41	0.3	1.13	0.6	0	1.34
ENSG00000002745.11	0.9	0.61	0.5	0.32	1.39	0.41	0.21	0.07	0.23	0.85	0.86	0.8
ENSG00000002822.14	17.07	13.46	9.01	7.13	10.05	8.22	2.83	11.1	4.26	7.64	7.82	10.25
ENSG00000002834.16	128.87	135.37	147.85	118.56	103.32	78.48	101.35	84.68	113.1	109	137.2	91.94
ENSG00000002919.13	21.24	11.67	12.56	14.32	7.65	14.23	9.73	9.46	11.33	20.59	23.98	13.7
ENSG00000002933.6	32.35	53.96	19.02	34.83	29.75	30.42	46.7	25.12	59.28	22.19	3.55	57.36
ENSG00000003056.6	135.71	164.12	132.07	104.13	171.09	122.6	93.53	205.46	112.93	120.08	189.31	146.67
ENSG00000003147.16	0.97	3.93	1.26	0	1.23	0	0.06	2.33	0.33	0.2	2.65	1
ENSG00000003249.12	0.23	0.87	2.15	1.68	0.68	0.56	0.08	0.57	0.54	1.13	0.49	0.59
ENSG00000003393.13	8.8	4.48	6.41	5.41	8.9	5.99	1.88	7.85	2.91	5.26	9.18	8.24
ENSG00000003400.13	20.9	30.98	28.95	23.69	32.75	57.09	50.43	38.07	36.84	52.82	33.47	27.49
ENSG00000003402.18	280.47	279.68	278.42	306.65	236.94	289.4	277.19	154	246.49	255.6	280.8	303.38
ENSG00000003436.13	3.51	3.93	3	3.56	4.77	3.13	3.24	2.1	3.08	3.89	3.75	4.57
ENSG00000003509.14	10.97	6.36	5.85	5.14	9.63	5.19	4.33	13.81	3.96	5.35	8.21	11.71
ENSG00000003756.15	209.44	189.02	163.9	157.33	204.42	127.32	90.86	149.37	98.47	129.74	197.2	178.97
ENSG00000003987.12	2.58	3.15	2.23	3.36	4.05	1.39	0.94	2.43	0.94	2.67	3.25	4.13
ENSG00000004059.9	10.69	15.15	14.24	15.94	15.43	15.85	12.76	19.9	15.24	11.07	21.55	17.53
ENSG00000004139.12	2.39	2.12	2.26	0.66	1.22	0.93	0.62	1.8	1.07	1.12	3.53	1.67
ENSG00000004142.10	18.8	19.65	12.88	13.85	28.54	12.87	10.39	17.46	11.77	14.59	17.07	15.89
ENSG00000004399.11	9.79	7.39	9.2	6.56	7.53	1.53	1.48	5.81	2.45	2.83	16.9	5.97
ENSG00000004455.15	172.88	140.15	129.19	102.53	163.3	107.7	117.08	164.72	89.41	135.4	167.65	140.64
ENSG00000004468.11	17.75	17.11	20.57	17.37	25.34	27.82	28.32	30.32	20.49	55.16	10.31	15.28
ENSG00000004478.7	23.8	19.61	17.13	21.27	22.21	7.91	100.02	13.92	33.53	24.56	17.32	17.47
ENSG00000004487.14	17.66	17.36	13.59	15.88	27.83	6.16	7.8	10.3	7.65	13.34	23.46	18.46
ENSG00000004534.13	28.04	46.82	23.02	30.45	43.59	10.87	20.2	14.77	14.03	18.62	37.28	27.87
ENSG00000004660.13	3.38	1.52	2.27	1.87	1.56	1.07	0.92	1.32	1.08	1.26	0.83	1.78
ENSG00000004700.14	17.21	18.35	10.02	9.66	29.37	18.64	17.42	33.63	16.75	12.31	16.75	15.86
ENSG00000004766.14	22.86	21.73	18.98	14.86	26.93	15.56	11.59	22.3	11.76	12.28	20.82	22.51
ENSG00000004779.8	19.9	21.78	13.1	12.79	19.26	17.17	14.98	31.94	13.5	13.64	6.73	9.43
ENSG00000004799.7	7.64	4.37	8.87	9.4	4.65	3.69	6.36	2.99	4.19	2.2	15.35	8.84
ENSG00000004809.12	0.03	0.71	0.56	0.46	1.76	0.1	0.83	4.43	0.66	0.34	0.05	1.72
ENSG00000004838.12	0.17	2.5	0.43	1.38	0.72	0.19	0.64	0	0.14	0.29	1.85	0.44
ENSG00000004864.12	5.64	4.4	5.85	2.98	2.4	1.78	1.57	3.47	2.4	2.68	5.47	7.25
ENSG00000004866.17	1.67	2.97	4.8	7.51	2.82	1.99	3.87	6.14	3.55	2.22	5.55	2.57
ENSG00000004897.10	73.23	92.09	72.28	57.9	68.29	85.67	77.8	68.37	79.18	65.75	97.34	91.25
ENSG00000004939.12	77.75	248.7	113.69	294.9	48.53	124.4	273.55	96.97	281.57	113.92	48.85	306.63
ENSG00000004961.13	9.73	5.73	11.04	8.4	6.81	9.65	9.73	7.11	7.36	10.16	5.97	6.26
ENSG00000004975.10	7.33	4.19	1.52	2.81	2.16	0.61	1.56	1.94	1.58	1.41	4.13	1.9
ENSG00000005007.11	10.77	5.8	4.97	4.69	12.34	3.19	6.12	6.07	4.26	5.45	9.38	4.86
ENSG00000005020.11	36.13	24.01	28.62	16.45	29.71	51.52	28.08	34.52	21.51	29.05	34.83	20.9
ENSG00000005022.5	17.06	16.25	23.01	23.24	34.33	24.78	30.61	28.5	25.39	36.7	26.63	17.41
ENSG00000005059.14	37.99	60.25	32.22	22.06	33.65	27.23	26.71	59.86	20.94	29.48	42.51	34.2
ENSG00000005075.14	17.41	14.52	27.33	23.6	17.94	10.77	17.77	22.82	19.5	18.32	14.48	22.87
ENSG00000005100.11	2.58	1.45	1.69	1.37	1.68	0.76	0.42	1.11	0.84	0.92	4.26	1.38
ENSG00000005102.11	0.47	0.16	0.07	0.49	1.22	0.36	0.67	1.66	0.44	0.34	0.57	0.38
ENSG00000005156.10	9.09	25.02	20.65	11.4	41.24	9.22	7.78	12.99	10.36	7.7	26.1	17.27
ENSG00000005175.8	25.44	17.3	18.62	20.07	34.65	30.92	21.3	23.33	20.22	24.5	26.48	26.07
ENSG00000005187.10	5.11	7.08	4.88	5.19	4.1	4.59	2.85	7.11	1.46	3.43	7.6	3.45
ENSG00000005189.18	0.86	0.5	0.4	1.01	0.98	1.15	0.31	2.11	1.04	2.03	0.86	1.07
ENSG00000005194.13	8.65	19.64	8.06	10.88	18.96	4.02	4.99	13.17	7.94	11.9	17.76	13
ENSG00000005206.15	1.99	7.31	2.23	2.14	3.02	1.86	1.43	3.66	0.86	2.56	1.66	1.34
ENSG00000005238.18	15.84	16.49	15.25	13.16	7.26	11.08	9.84	13.09	12.4	9.61	12.39	17.46
ENSG00000005243.8	0.66	1.5	1.02	0.81	0.25	1.22	2.23	0	1.07	3.31	0	2.08
ENSG00000005249.11	12.27	13.09	12.81	23.56	19.44	34.48	29.95	23.58	31.77	23.12	21.18	21.24
ENSG00000005302.16	77.87	74.23	59.82	68.75	95.35	113.05	78.42	43.45	74.81	92.42	81.11	92.01
ENSG00000005339.11	30.33	27.77	29.04	30.6	28.75	11.76	18.45	18.71	18.87	23.69	67.92	20.19
ENSG00000005379.14	2.13	5.34	2.2	1.43	2.52	0.23	0.47	0.6	0.75	0.88	1.99	0.87
ENSG00000005381.7	1.93	0.79	1.56	0.84	1.23	0.91	0.24	1.27	1.26	1.19	0.75	1.63
ENSG00000005436.12	8.75	6.6	6.59	13.16	16.68	4.32	4.21	7.09	3.43	4.97	11.45	9.15
ENSG00000005448.15	10.62	4.54	4.86	0.89	12.8	0.92	2.24	1.08	1.57	1.18	5.53	4.67
ENSG00000005469.10	3.76	4.38	3.43	2.79	9.63	3.71	1.81	5.63	2.11	4.26	5.03	5.87
ENSG00000005471.14	0.91	5.18	1.46	1.76	2.58	0.32	1.62	0.85	0.7	2.67	4.64	1.65
ENSG00000005483.18	233.62	187.21	172.66	211.75	244.09	147.35	97.18	129.98	100.82	155.34	214.65	249.61
ENSG00000005486.15	14.37	11.78	16.98	11.56	15.13	5.82	12.5	8.26	9.72	12.38	8.16	11.48
ENSG00000005700.13	16.77	14.03	10.86	9.99	19.81	10.84	8.41	11.69	9.11	10.47	18.86	14.35
ENSG00000005801.15	37.95	45.63	29.27	38.07	46.68	18.16	20.2	40.66	15.95	20.56	51.27	35.63
ENSG00000005810.16	91.89	88.59	54.57	64.85	104.02	29.43	40.26	77.23	41.39	51.28	119.47	58.11
ENSG00000005812.9	57.13	40.34	35.06	47.19	45.36	46.82	28.22	50.48	34.81	35.78	32.24	45.62
ENSG00000005844.16	121.19	137.95	96.26	98.98	166.42	45.6	40.43	55.92	77.76	102.69	282.18	117.72
ENSG00000005882.10	12.07	25.76	10.84	14.67	10.01	2.35	5.83	17.45	12.09	12.77	18.65	10.57
ENSG00000005884.16	1.95	0.79	2.61	2.06	11.87	1.93	0.42	2.65	0.92	1.28	2.54	2.17
ENSG00000005889.14	46.82	48.6	41.37	42.42	54.38	29.35	20.64	32.41	24.71	29.47	37.37	36.03
ENSG00000005893.14	195.14	95.7	184.25	169.24	121.91	245.42	162.67	141.42	180.55	179.81	117.32	141.64
ENSG00000005961.16	21.08	16.03	22.87	42.26	16.67	3.65	9.49	18.48	21.33	22.73	48.68	20.05
ENSG00000006007.10	45.29	34.39	29.82	29.33	28.48	36.16	18.87	31.69	24.21	20.17	23.81	35.07
ENSG00000006015.16	18.47	14.9	13.79	9.98	25.37	3.5	9.82	16.26	6.99	9.95	22.68	12.08
ENSG00000006016.9	0.63	0.79	1.1	0.77	0.78	0	0.4	0	0.18	0.86	0.32	0.74
ENSG00000006025.10	2.8	6	2.67	3.75	2.36	0.88	0.52	1.54	0.78	2.19	6.35	3.33
ENSG00000006042.10	0.4	0.28	0.09	0.56	0.87	0	0.19	0	0.1	1.25	0.81	0.37
ENSG00000006062.12	1.96	2.76	3.31	3.24	1.82	0.98	2.17	2.55	1.55	2.2	3.91	1.89
ENSG00000006118.13	1.65	2.75	1.92	2.27	2.62	0.19	1.28	0.82	0.77	1.12	2.09	1.16
ENSG00000006125.15	22.5	25.22	27.8	28.01	26.63	22.65	30.21	17.17	23.69	31.79	41.26	29.49
ENSG00000006194.9	9.09	9.35	7.88	5.97	12.4	5.48	3.29	5.93	4.11	3.54	9.34	7.32
ENSG00000006282.18	2.5	3.96	1.78	1.12	11.01	1.56	2.16	1.57	1	4.57	5.11	5.17
ENSG00000006327.12	9.77	4.42	3.53	1.22	7.7	4.85	0.38	4.65	2.28	1.44	2.33	1.07
ENSG00000006432.14	0.29	0.96	0.54	0.57	0.57	0.17	0.22	0.14	0.33	0.47	1.27	0.55
ENSG00000006451.6	3.55	1.89	5.9	5.36	3.17	6.99	7.38	2.3	2.76	5.75	4.28	2.15
ENSG00000006453.12	2.33	1.72	2.19	2.11	4.53	2.69	3.03	3.37	1.69	3.71	3.22	2.23
ENSG00000006459.9	31.1	21.1	28.13	27.78	25.23	26.11	15.03	25.18	18.79	23.26	37.24	30.31
ENSG00000006530.14	13.94	15.43	10.77	10.12	21.73	6.8	7.77	8.76	4.71	13.43	19.86	13.76
ENSG00000006534.14	8.05	8.69	7.1	5.03	6.72	5.84	2.11	4.29	3.51	4.48	9.11	9.15
ENSG00000006555.9	3.47	8.06	4.32	5.28	3.55	1.24	0.98	6.19	1.76	3.72	8.39	3.14
ENSG00000006576.15	16.13	9.67	10.98	11.72	17.63	15.14	8.66	13.92	8.3	11.58	13.98	12
ENSG00000006607.12	4.4	6.26	6.34	6.57	6.63	5.86	5.84	9.48	3.56	6.06	12.83	6.37
ENSG00000006625.16	4.91	5.15	1.91	3.56	5.55	6.98	6.02	7.1	5.47	6.88	5.15	4.46
ENSG00000006634.6	20.23	17.74	10.78	10.14	20.84	5.1	6.82	19.05	8.6	10.57	12.79	17.54
ENSG00000006638.10	2.94	3.6	2.4	2.28	2.65	0.64	1.1	1.99	1.91	2.76	2.77	1.4
ENSG00000006652.12	100.51	67.67	79.22	85.42	46.29	66.79	31.73	42.57	55.12	33.63	60.5	86.82
ENSG00000006659.11	0	2.17	0	0	0	0	0	0	0	0.24	0	0
ENSG00000006695.9	3.29	4.37	5.98	3.43	8.36	1.61	3.18	4.21	1.95	5.42	10.24	6.87
ENSG00000006712.13	7.9	5.79	8.74	12.62	9.15	6.18	6.69	7.86	7.93	9.21	8.29	11.52
ENSG00000006715.14	35.85	16.52	22.38	23.6	47.7	19.31	13.83	21.45	18.52	26.7	25.37	32.15
ENSG00000006744.17	20.5	13.22	9.32	9.62	12.09	4.35	6.89	11.6	4.77	9.24	18.1	9.78
ENSG00000006756.14	2.81	3.19	2.83	1.52	2.2	1.7	1.46	3.46	1.11	1.18	3.63	2.6
ENSG00000006757.10	0.98	0.86	1.7	1.9	0.29	0.71	1.18	0.67	1.32	1.56	1.28	1.23
ENSG00000006831.9	11.59	6.27	8.97	10.96	14.78	5.58	5.25	4.14	4.77	10.26	15.16	12.06
ENSG00000006837.10	0.36	0.14	0.28	0.62	0.99	0	0.08	0.16	0.29	0.22	1.04	1.31
ENSG00000007038.9	1.08	0.11	0.1	0.43	0.9	0.79	0	0.48	0.18	0.54	0.28	0.13
ENSG00000007047.13	3.82	8.3	8.75	6.61	3.38	2.06	3.56	2.24	1.07	4.44	6.02	3.05
ENSG00000007080.9	0.08	1.52	2.57	2.54	0.37	1.76	2.12	0.9	2.91	1.46	1.45	0.73
ENSG00000007129.16	8.76	10.62	4.32	4.36	5.64	7.52	7.12	6.07	8.58	4.02	11.71	5.85
ENSG00000007168.11	84.08	91.83	77.99	72.86	80	52.61	56.46	58.01	56.36	57.56	143.56	70.86
ENSG00000007202.13	56.3	50.66	67.01	39.71	84.5	27.05	39.71	23.99	24.96	41.5	81.32	48.61
ENSG00000007237.17	13.47	16.39	16.14	14.04	16.68	12.74	10.21	21.47	11.89	16.83	34.87	16
ENSG00000007255.9	10.88	3.99	5.37	4.52	5.29	2.89	3.4	4.06	2.68	3.34	3.48	4.52
ENSG00000007264.12	3.36	6.45	2.9	2.58	7.5	0.61	0.51	0.98	0.44	1.43	2.93	2.23
ENSG00000007312.11	13.29	12.95	8.18	5	14.51	5.99	2.17	7.52	3.16	5.87	11.57	5.36
ENSG00000007341.17	30.85	26.58	29.89	29.55	28.25	22.85	17.59	27.85	23.58	32.95	29	32.83
ENSG00000007350.15	2.62	12.14	2.66	1.41	4.65	0.93	1.17	2.25	0.86	1.61	3.39	5.3
ENSG00000007376.6	0.32	0.94	0.67	0.81	1.11	0.26	0.38	0.26	0.21	1.01	0.32	0.66
ENSG00000007392.15	60.57	50.52	36.25	27.59	66.84	13.78	21.54	27.82	13.15	29.42	64.75	27.02
ENSG00000007402.10	0.72	1.03	0.84	1.19	1.11	0.22	0.18	0	0.1	0.16	2.25	0.66
ENSG00000007516.12	2.25	1.54	1.06	0.98	0.69	0.59	0.09	0.3	0.2	0.29	0.89	0.89
ENSG00000007520.3	4.1	4.97	2.24	2.78	7.49	2.68	3.66	3.68	1.38	2.23	3.44	3.01
ENSG00000007541.13	5.46	5.87	4.24	4.48	3.64	6.74	3.19	4.42	3.49	3.47	3.22	3.02
ENSG00000007545.14	1.78	2.08	1.54	1.43	2.28	1	1.05	1.35	0.84	0.81	2	0.59
ENSG00000007923.14	9.77	13.61	15.08	11.82	14.56	3.72	9.57	2.46	4.36	6.97	14.75	7.99
ENSG00000007944.13	53.64	38.78	31.14	24.81	48.46	36.95	34.67	42.26	30.81	29.25	32.99	50.71
ENSG00000007968.6	7.98	13.62	4.42	8.09	4.03	8.01	5.34	4.27	8.47	5.07	5.34	5.5
ENSG00000008018.8	15.69	12.5	11.51	14.98	25.4	21.24	19.67	18.88	17.5	12.92	25.59	19.18
ENSG00000008083.12	19.36	14.82	16.23	15.35	13.59	7.54	6.65	8.28	5.18	9.88	24.63	13.98
ENSG00000008086.9	15.36	14.52	13.94	13.77	12.8	9.68	8.2	9.41	10.14	11.7	18.2	14.53
ENSG00000008128.21	20.05	23.09	9.23	12.32	9.72	6.59	7.74	3.26	11.86	11.17	21.36	13.3
ENSG00000008130.14	102.61	65.44	60.51	60.98	43.56	83.43	90.43	58.56	82.28	77.18	49.87	54.36
ENSG00000008226.18	2.07	0.45	0.96	0.74	0.27	0.17	0.06	0.17	0.38	0.13	2.08	0.93
ENSG00000008256.14	1.29	1.19	1.35	0.88	1.5	0.8	0.67	0.29	0.74	0.58	1.88	1.41
ENSG00000008277.13	2.25	1.73	1.99	2.34	3.72	0.89	0.8	1.66	0.62	1.64	2.57	2.67
ENSG00000008282.6	24.33	24.88	37.72	38.95	35.67	53.65	32.9	35.57	40.96	51.27	32.85	19.17
ENSG00000008283.14	4.04	5.75	3.1	2.47	5.94	6.51	4.64	6.04	4	7.43	6.1	3.42
ENSG00000008294.19	77.76	60.18	73.02	89.71	63.58	48.87	42.62	45.17	49.99	56.07	60.51	78.57
ENSG00000008311.13	2.07	1.91	2.02	2.11	2.64	0.24	1	0.37	1	0.88	1.46	2.25
ENSG00000008323.14	2.52	3.15	3.57	3.31	0.77	1.45	2.29	1.41	1.67	2.73	2.01	2.53
ENSG00000008324.9	6.28	4.7	3.8	7.99	7.11	7.87	7.85	1.82	5.58	7.24	11.64	6.73
ENSG00000008382.14	0.69	1.11	1.13	0.71	2.13	0.27	0.77	0.17	1.03	0.86	0.76	0.7
ENSG00000008394.11	24.9	10.53	17.97	17.37	17.61	33.07	18.5	25.62	19.04	24.02	6.71	14.93
ENSG00000008405.10	3.45	6.34	3.56	3.61	7.3	2.17	1.6	2.26	3.2	3.6	3.93	4.3
ENSG00000008438.4	33.41	20.44	28.19	25.81	13.78	21.22	11.33	20.43	22.78	25.03	10.02	43.07
ENSG00000008441.15	23.99	42.95	35.35	39.33	10.01	38.95	80.13	35.05	65.81	35.02	15.91	40.2
ENSG00000008513.13	31.73	31.89	20.95	17.34	27.72	15.21	10.05	22.41	17.15	17.18	37.89	21.84
ENSG00000008516.15	51.99	48.73	46.16	45.19	16.89	21.83	28.38	10.29	24.05	15.6	112.37	23.88
ENSG00000008517.15	125.68	142.82	79.33	121.33	166.65	43.9	55.35	119.99	97.67	106.21	198.45	103.37
ENSG00000008710.16	5.05	7.02	5.89	4.55	3.89	1.01	0.97	2.39	1.46	3.78	6.08	2.75
ENSG00000008838.16	7.29	11.44	4.37	6.01	10.74	2.66	3.8	8.75	3.22	5.71	7.97	7.59
ENSG00000008853.15	2.37	3.82	6.15	3.51	3.86	3.01	3.33	0.72	1.61	4.73	2.54	3.41
ENSG00000008869.10	17.27	15.09	17.42	19.57	25.92	9.2	6.05	9.87	11.3	11.87	17.47	18.89
ENSG00000008952.15	18.47	22.77	20.87	29.78	29.87	32.98	37.33	32.59	32.58	17.59	32.6	28.64
ENSG00000008988.8	237.02	295.91	154.97	277.08	496.83	166.05	141.91	263.94	163.73	232.25	215.23	263.36
ENSG00000009307.14	100.77	91.32	69.94	67.98	96.45	59.49	50.56	69	54.23	63.8	204.78	93.43
ENSG00000009335.16	10.69	12.66	10.53	15.06	15.58	6.55	6.89	7.79	6.67	11.51	23.26	12.21
ENSG00000009413.14	106.5	96.88	96.13	112.99	118.79	21.71	42.19	34.15	42.3	69.78	134.55	91.38
ENSG00000009694.12	3.39	4.1	3.6	3.73	6.01	1.06	1.01	1.26	1.09	1.54	5.21	4.81
ENSG00000009724.15	8.14	6.17	6.45	6.81	11.29	2.63	1.2	2.47	1.88	4.27	12.08	5.61
ENSG00000009780.14	3.47	3.66	3.27	3.96	4.79	1.6	1	3.84	2.13	1.22	6.87	2.57
ENSG00000009790.13	154.4	173.25	118.34	115.19	181.88	79.42	67.39	109.74	77.64	96.51	142.39	108.41
ENSG00000009830.10	1.86	3.17	2.44	1.07	2.52	0.92	2.37	1.64	0.99	1.77	3.31	2.42
ENSG00000009844.14	52.15	37.15	26.06	24.53	38.14	49.71	36.28	61.65	28.27	36.47	29.86	37.93
ENSG00000009950.14	1	1.5	1.11	1.5	1.12	0.12	0.42	0.13	0.37	0.8	1.85	0.92
ENSG00000009954.9	20.61	18.87	12.61	13.41	20.85	6.35	6.96	11.94	6.6	9.42	27.12	17.11
ENSG00000010017.12	36.86	25.81	18.59	24.47	40.23	23.28	16.1	37.17	25.11	20.85	43.66	35.7
ENSG00000010030.12	0.98	2.86	0.77	0.92	1.92	43.57	35.09	11.68	37.09	41.31	3.76	0.78
ENSG00000010072.14	8.63	8.81	7.33	10.28	11.84	8.8	6.35	7.3	5	10.64	8.62	11.96
ENSG00000010165.18	5.33	4.81	3.77	4.09	10.02	1.89	2.54	3.41	2.67	7.03	13.88	3.41
ENSG00000010219.12	23.79	33.06	24.34	9.51	21.2	8.31	6.43	8.43	9.98	17.21	10.53	12.82
ENSG00000010244.15	222.09	199	202.08	189.11	233.67	212.8	156.35	219.46	155.59	214.41	235.5	228.76
ENSG00000010256.9	20.38	22.56	18.28	18.99	43.64	22.99	18.11	27.78	15.07	18.99	31.07	28.78
ENSG00000010270.12	10.85	11.51	6.25	9.02	14.89	25.61	21.86	13.44	20.23	9.88	10.66	9.67
ENSG00000010278.10	47.83	7.67	12.75	32.65	12.44	15.48	11.33	12.32	12.11	7.27	23.57	15.46
ENSG00000010292.11	15.79	20.25	8.24	11.41	28.97	7.21	5.27	7.15	11.9	7.01	25.21	16.66
ENSG00000010295.18	4.14	4.97	4.75	3.52	4.83	1.76	3.39	3.77	1.29	2.59	5.2	3.02
ENSG00000010310.7	0.14	0.37	0.49	0.62	0.59	0.06	0.48	0.65	0	0.26	1.54	0.11
ENSG00000010318.18	2.45	2.88	2.01	2.25	0.29	2.52	0.78	1.16	0.8	0.45	0.44	0.92
ENSG00000010322.14	2.98	2.31	2	4.16	4.31	0.99	0.62	0.85	0.86	1.97	16.51	4.52
ENSG00000010327.9	5.75	6.62	12.4	6.03	8.83	5.63	5.18	12.2	2.4	4.11	10.62	7.7
ENSG00000010361.12	4.4	6.82	8.25	4.09	6.29	3.11	2.53	10.96	2.79	1.8	7.46	3.87
ENSG00000010379.14	0.27	0	0	0.04	0	0	0.06	2.44	0.1	0	0.09	0.33
ENSG00000010404.16	121.44	84.27	102.9	117.09	71.04	41	27.7	38.42	42.95	48.58	116.54	71.39
ENSG00000010438.15	0	1.77	0.11	0	0.17	0	0	0	0	0	0.42	0.45
ENSG00000010539.10	34.27	21.23	26.57	25.98	35.36	70.05	57.83	31.6	55.32	39	28.92	26.42
ENSG00000010610.8	42.82	45.16	45.33	29.63	46.7	13.13	20.34	23.37	19.63	28.57	55.94	36.08
ENSG00000010626.13	2.16	9.82	0.43	0.06	0.06	0	0.09	0.89	0.67	2.12	0.3	2.13
ENSG00000010671.14	27.41	20.1	20.32	34.95	24.15	25.94	21.02	23.09	23.53	25.66	30.86	29.7
ENSG00000010704.17	1.35	3.72	2.76	2.72	1.56	2.5	2.67	2.49	2.98	2.73	3.56	2.98
ENSG00000010803.15	9.9	15.02	11.55	10.71	18.67	4.05	7.66	4.02	6.26	7.63	18.86	13.64
ENSG00000010810.16	156.61	166.83	102.75	107.15	215.42	38.07	40.43	53.26	52.26	72.62	234.79	124.52
ENSG00000010818.7	17.36	17.66	15.22	14.82	22.89	15.13	24.75	15.17	20.94	20.01	17.81	17.98
ENSG00000011007.11	4.44	4.3	5.11	3.76	6.62	2.98	3.3	4.58	3.17	4.99	7.55	5.14
ENSG00000011009.9	23.22	16.66	16.79	14.04	17.66	10.6	12.06	14.39	12.85	17.04	13.93	18.45
ENSG00000011021.20	3.87	3.54	2.14	2.64	3.06	2.09	2.16	1.84	1.41	4.39	8.08	1.96
ENSG00000011028.12	2.76	7.91	3.13	7.55	1.86	5.34	5.38	2.56	11.27	5.03	1.16	5.64
ENSG00000011052.20	1.01	0.17	0.44	0.19	0	0	0.41	2.36	0	0	0	0.2
ENSG00000011105.10	0.26	0.13	0.43	1.1	0.12	0.13	0.08	0.05	0.47	0.4	0.25	0.2
ENSG00000011114.13	12.45	9.5	9.7	11.76	11.95	5.78	6.06	5.91	4.28	10.21	16.16	9.37
ENSG00000011132.10	1.8	3.15	2.74	3.72	1.04	1.61	1.78	1.13	2.58	3.3	2.05	1.79
ENSG00000011143.15	0.48	0.81	1.05	1.77	2.5	0.29	0.57	0.79	0.49	1.11	1.86	0.9
ENSG00000011198.6	111.18	57.25	79.02	82.46	62.26	58.31	45.5	29.14	50.49	39.55	39.61	61.56
ENSG00000011243.16	19.04	22.99	14.19	18.12	17.18	13.1	7.19	11.92	10.55	13.41	14.99	17.4
ENSG00000011258.14	33.22	16.08	16.61	18.48	18.41	8.79	6.76	6.04	6.94	10.18	24.92	18.69
ENSG00000011260.12	13.33	16.27	11.32	16.65	16.36	18.71	8.35	23.43	9.68	14.73	16.89	15.66
ENSG00000011275.17	31.02	27.72	28.94	26.34	26.37	10.88	12.21	15.54	11.4	16.53	29.03	24.54
ENSG00000011295.14	32.27	30.92	20.45	30.34	36.69	9.46	7.49	14.17	8.37	14.18	35.59	26.39
ENSG00000011304.15	61.09	61.78	67.61	46.68	33.93	15.43	29.73	66	32.4	50.19	46	48.79
ENSG00000011376.8	6.93	5.29	3.98	4.9	7.49	2.54	4.61	4.95	3.75	5.09	12.46	7.37
ENSG00000011405.12	25.18	16.77	15.87	14.96	21.65	10.43	7.12	12.35	15.17	12.73	25.22	20.12
ENSG00000011422.10	163.71	120.59	126.87	113.35	57.56	204.88	193.4	179.93	273.35	184.77	61.28	118.05
ENSG00000011426.9	1.68	3.76	3.43	1.5	2	4.39	3.57	7.91	4.8	1.45	2.15	2.1
