id	sample_12_SRR988499_PE	sample_10_SRR988501_PE	sample_8_SRR988503_PE	sample_6_SRR988505_PE	sample_4_SRR988507_PE	sample_11_SRR988500_PE	sample_9_SRR988502_PE	sample_7_SRR988504_PE	sample_5_SRR988506_PE	sample_3_SRR988508_PE	sample_2_SRR988509_PE	sample_1_SRR988510_PE
Group	Pre-challenge	Pre-challenge	Pre-challenge	Pre-challenge	Pre-challenge	Post-challenge	Post-challenge	Post-challenge	Post-challenge	Post-challenge	Unchallenged control	Unchallenged control
ENSG00000259577.1	0.29	0.12	0.1	0	1.48	0.79	0.06	0.31	0.1	0.27	0.19	0.17
ENSG00000259581.3	0.68	0.7	1.41	0.47	1.05	0.07	0.04	0.17	0.2	0.32	1.08	0.71
ENSG00000259589.2	0.51	0.16	1.07	0.27	0.41	0	0.35	0	0.18	0	1.68	0.53
ENSG00000259590.1	0	1.46	0.38	0	0.57	0	0	0	0	0	0.71	0
ENSG00000259591.1	0.41	1.59	0.81	1.42	1.57	0.8	0.91	1.48	1	0	0.56	0.69
ENSG00000259593.1	0	0	0	1.42	0	0	0	0	0	0	0	0
ENSG00000259598.1	0.5	0.95	2.31	3.76	0.78	1.15	0.6	0	0.85	1.95	2.68	0.86
ENSG00000259600.2	25.42	19.8	37.58	44.6	18.52	17.54	16.94	8.93	13.67	20.82	34.57	39.53
ENSG00000259607.1	0	0	0.24	0	1.97	0	1.54	0	0	0.84	0	0.43
ENSG00000259612.1	0.98	0.73	0.3	0.59	1.32	0.45	0.37	0.61	0.24	0	1.43	0.36
ENSG00000259617.1	0.59	0.94	0	0.26	0.46	0	0	1.6	0.2	0	0.29	0.2
ENSG00000259621.1	0	0	0	0	0	0	0	0	0	0	1.27	0
ENSG00000259623.1	5.3	5.31	3.73	3.59	4.79	2.21	2.95	6.92	2.63	3.93	3.86	3.66
ENSG00000259626.2	44.35	25.7	60.79	58.39	16.91	23.17	17.85	22.01	14.65	24.8	36.29	62.38
ENSG00000259628.1	4.58	7.71	9.16	5.21	7.78	14.6	7.1	17.14	9.47	6.35	5.68	5.59
ENSG00000259630.2	2.62	2.53	6.28	3.42	4.4	2.25	0.53	0	0.93	0.69	13.16	7.23
ENSG00000259632.2	0.32	0.07	0.17	0.44	0.42	0.22	0.06	0	0.11	0.17	1.79	0.26
ENSG00000259639.4	0.37	1.29	0.41	1.13	0	0.43	0	0	0.13	0.3	0.39	0.14
ENSG00000259641.4	0.17	0.08	0.09	0.12	1.05	0	0.36	0	0.03	0	0.15	0
ENSG00000259642.2	16.71	4.57	11.72	4.68	5.02	2.52	3.62	3.15	2.86	3.6	4.91	7.92
ENSG00000259649.3	1.1	0.17	0.41	0.54	0.21	0	0.41	0	0	0.41	1.28	0.36
ENSG00000259651.2	25.78	36.23	42.17	26.39	23.59	16.57	17.83	6.7	16.61	17.73	22.04	53.75
ENSG00000259652.1	0	0.9	0	1.12	1.99	0	0	0	0	0	3.11	0
ENSG00000259654.1	2.47	0.79	0.16	0.27	0	0	0	0	0	0	0	1.28
ENSG00000259657.1	2.89	3.82	5.96	5.57	1.69	5.51	2.91	2.56	3.62	3.38	1.88	3.33
ENSG00000259658.3	1.39	0.86	1.93	0.81	1.71	1.84	3.08	0	2.77	3.36	1.41	0.55
ENSG00000259659.1	0.64	1.83	0.7	1.38	3.62	0.43	2.1	1.01	0.39	2.1	3.97	1.73
ENSG00000259661.1	126.52	127.47	135.89	122.14	105.93	98.37	75.64	105.32	101.74	104.43	67.6	83.68
ENSG00000259668.4	1.29	1.38	1.1	1.73	1.4	3.27	4.11	1.39	1.95	3.14	2.78	1.89
ENSG00000259671.1	25.02	18.34	29.86	35.06	8.72	12.81	12.13	6.06	12.25	14.41	34.86	26.65
ENSG00000259673.4	1.16	1.19	0.5	1.49	1.1	0.86	0.27	0.42	0.22	1.16	2.29	1.17
ENSG00000259674.1	1.34	0.18	0	0.26	0	0	0.35	1.11	0.1	0.22	0.28	0.2
ENSG00000259677.1	1.69	4.21	1.07	2.86	1.37	2.42	0.38	0	0.32	0.5	5.63	1.32
ENSG00000259684.1	1.07	2	0.4	0	0	0.4	1.86	0	0	1.28	0	0
ENSG00000259687.1	0	0.11	0.79	0.61	0	1.11	0.2	0.44	1.71	0.26	0.17	0.47
ENSG00000259688.1	0	0	0	0	0	0	0	0	0	3.98	0	0
ENSG00000259691.2	0	0	0.55	0.9	4.04	0	0	0	0	1.72	0	0
ENSG00000259692.4	2.06	2.92	2.49	2.9	4.11	0	1.62	0	0.3	1.38	4.17	2.28
ENSG00000259699.2	1.91	1.01	0.58	1.51	0.09	0	0	0.59	0	0	0.47	0.07
ENSG00000259703.4	0.8	2.31	0.52	2.04	1.21	0.33	0	0	0.21	0	2.67	1.84
ENSG00000259704.1	0.6	0.86	0.46	3.1	0	3.47	1.61	0	0	2.1	0.43	2.46
ENSG00000259706.1	2.34	1.48	0.85	1.35	1.76	2.38	0.76	1.85	1.11	1.94	0.81	2.87
ENSG00000259712.1	0.94	0.13	0.31	0	0	0	0.49	0	0	1.88	0.59	0.28
ENSG00000259717.1	0.41	0.99	0.8	0	1.45	1.48	0.75	3.38	0.22	1.94	0.61	0.43
ENSG00000259719.4	3.03	3.95	1.35	3.19	3.57	4.37	1.16	0.64	1.31	1.48	5.87	2.15
ENSG00000259723.1	1.05	1.49	1.34	0.97	0.69	0	0	0.69	0	1.15	0.36	1.76
ENSG00000259736.1	0.64	1.57	0	0	0.3	0	0	1	0.13	0	0	0
ENSG00000259747.1	0	2.73	0.48	0.41	0	0	0	0	0	0	0	0
ENSG00000259752.2	0	12	0	53.71	13.34	11.42	0	3.24	6.55	9.51	0	15.53
ENSG00000259762.1	0	0.77	0.62	0.53	0	0	1.09	0	0.42	0	0	0.42
ENSG00000259772.5	1.61	1.37	1.63	2.04	4.83	1.14	1.18	0	1.59	3	1.16	1.31
ENSG00000259774.1	1.19	0.44	0.77	1.22	0.37	0.18	0.39	0.22	0.36	0.26	0.25	0.12
ENSG00000259775.1	0.12	0.44	0.09	1.11	0.55	0	0	0	0.48	0.27	0	0
ENSG00000259781.1	8.81	15.62	11.58	11.71	13.19	4.38	13.43	9.75	9.15	7.12	9.02	10.08
ENSG00000259802.1	0.33	1.24	0.13	0	0.19	1.05	0.15	0.95	0.49	0.58	0.49	0.17
ENSG00000259807.1	2.42	2.24	2.12	1.19	2.83	0.37	0.38	0.79	0.27	1.12	5.95	1.97
ENSG00000259810.2	0.07	0.16	0.14	0	1.51	0	0.24	0	0.04	0.15	0.78	0.32
ENSG00000259820.1	5.63	4.16	4.28	3.71	5.46	2.06	1.43	4.7	1.39	3.78	4.47	4.24
ENSG00000259823.4	1.45	1.42	0.28	0.99	0.07	0	0.11	0	0.12	0	0.79	0.38
ENSG00000259826.1	0.03	0.65	1.22	0.76	0.13	0.6	0.66	0.73	0.61	0.46	0.91	0.5
ENSG00000259834.1	22	18.25	15.64	21.38	27.1	9.85	9.16	20.34	12.39	17.24	36.5	23.62
ENSG00000259848.7	0.48	0.44	0.48	0.1	0.41	0.37	0.24	0.2	0.02	0.39	1.03	0.4
ENSG00000259865.1	16.07	18.18	8.56	12.95	14.95	46.34	42.98	19.74	19.99	22.75	16.27	9.05
ENSG00000259866.1	0.94	2.48	1.51	1.36	0.97	0.92	0.32	0	0.29	0.96	0.7	2.39
ENSG00000259869.1	0	0	0.12	0.41	0	0.71	0	0	0.37	0.35	1.44	0.39
ENSG00000259876.1	0	0.61	0.12	0.22	0.76	0.55	0	0	0.66	0.38	2.84	0
ENSG00000259877.2	1.02	1.05	0.39	0.52	0.79	0.39	0.42	0.19	0.5	0.3	1.01	0.71
ENSG00000259891.1	0.78	0.38	0.46	0.43	1.1	0.17	0.46	0.32	0.33	0.72	2.16	0.61
ENSG00000259915.2	1.02	1.01	1.06	1.09	0.67	0.35	0.31	0.21	0.25	1.06	1.39	0.68
ENSG00000259918.1	0.43	0	0.33	0.55	0.98	3.64	0	0	1.39	0	3.69	1.32
ENSG00000259922.1	1.8	2.41	3.01	1.69	5.31	3.5	2.39	2.38	3.53	4.85	4.09	4.25
ENSG00000259924.1	3.83	1.27	1.4	1.53	3.47	0.96	0.14	0	0.98	2.11	6.11	1.88
ENSG00000259926.1	0.34	0.33	0.62	1.7	0	0	0	0	0.12	0	0.17	0.6
ENSG00000259931.2	0	0	1.88	0	0	0	0	0	0	0	0	0.85
ENSG00000259932.1	0.29	2.4	0	0	0	0	0.18	0	0.4	0.32	0	1.33
ENSG00000259935.1	3.45	1.81	1.34	3.22	1.82	0	0.94	1.39	0.36	0.81	1.52	2.69
ENSG00000259940.2	1.99	1.44	1.03	1.08	0.05	0.12	0.49	0.72	0.43	0.81	2.56	0.95
ENSG00000259943.1	3.78	3.15	1.42	2.15	2.27	4.74	2.32	2.89	2.87	1.39	1.76	2.61
ENSG00000259950.1	3.94	5.68	3.23	3.24	5.17	5.49	2.67	4.1	4.14	4.63	2.88	3.82
ENSG00000259953.1	1.36	1.4	2.13	1.34	2.92	0.84	1.08	2.5	1.03	1.45	3.79	1.34
ENSG00000259954.1	0.26	1.82	0.52	0.49	0.46	0	0.09	0	0.29	0.49	1.71	0.32
ENSG00000259956.1	2.75	3.89	2.88	3.7	3.81	1.28	1.4	1.14	1.45	2.33	5.95	2.42
ENSG00000259959.1	5.33	4.78	2.07	4.06	3.37	3.37	2.39	0.53	1.89	2.96	3.2	2.03
ENSG00000259972.2	18.93	16.62	13.81	13.63	21.05	4.23	5.04	6.89	6.52	8.86	22.7	12.41
ENSG00000259976.1	16.94	17.8	16.93	21.94	22.41	7.37	5.54	11.04	5.66	16.03	16.04	17.66
ENSG00000259984.1	1.38	1.87	2.27	0	0	0	0.44	0	0.37	0	0.03	1.52
ENSG00000259985.1	0	0.56	0.55	0.56	1.26	0.37	0.11	0	0	0.83	0.44	0.12
ENSG00000259994.1	2.42	4.22	1.6	2.67	3.81	1.82	0.81	1.6	1.24	1.87	4.07	2.13
ENSG00000260000.2	0.48	0	0	0.47	0.1	0.27	0	2.29	0.17	0.1	0.77	0.14
ENSG00000260012.1	1.15	0.68	0.8	0.28	1.58	0	0	0.4	0.83	0.24	1.07	0.75
ENSG00000260018.1	0	1.05	0	0	0	0	0	1.48	0	0	0	0
ENSG00000260022.1	1.96	0.17	0.14	0	0.42	0	0	0	0.18	0	0.26	0.37
ENSG00000260031.1	3.1	1.83	4.71	0.78	2.8	0	1.09	0	1.38	0	2.64	3.19
ENSG00000260032.1	17.89	16.95	14.76	15.15	22.69	10.3	11.04	14.2	8.07	12.58	31.69	22.27
ENSG00000260033.1	16.09	11.41	12.6	12.22	9.01	15.19	3.59	7.26	5.52	7.76	16.12	13.01
ENSG00000260034.1	1.41	1.02	1.79	1.19	2.13	0.54	0.47	1.22	0.35	1.32	3.9	2.01
ENSG00000260035.1	0	0	0	0	0.64	0	1	0	0	0	0	0
ENSG00000260037.4	0.27	0.64	0.65	0.36	1.31	0.45	0	0	0	0.63	9.79	0
ENSG00000260038.1	0	0	1.18	1.49	0	1.6	0	0	0.42	2.72	1.11	0
ENSG00000260051.1	0.47	0.6	1.96	1.06	0	0	1.24	0	0	0	0.7	0.16
ENSG00000260059.1	4.91	3.52	4.21	4.19	3.32	1.42	1.61	2.32	1.6	3.04	3.15	4.04
ENSG00000260060.1	1.47	1.55	1.2	0.62	0.32	0	0	0	0.28	0.64	1.21	0.57
ENSG00000260070.1	1.84	0.54	1.6	2.16	0.54	1.13	0.63	0	0.81	0.53	0.85	0.48
ENSG00000260075.1	0	0	1.97	0	0	0	0	0	0	0	4.31	0
ENSG00000260077.1	2.28	0.95	2.07	1.25	2.07	0.77	0.23	0.47	0.54	0.58	0.92	0.82
ENSG00000260078.3	11.34	10.54	7.47	14.14	5.86	10.89	10.31	4.43	10.23	6.78	8.46	5.21
ENSG00000260083.1	0.68	0.49	0.24	3.51	0.13	0	0.1	0.8	0.55	0.83	0.61	0.47
ENSG00000260086.2	1.44	0.43	0.61	0.36	0.29	0	0.67	0	0.22	0.21	1.17	1.28
ENSG00000260088.1	0.05	0.45	0.57	0.88	1.78	0.35	0.15	0	0.1	0.23	0.43	0.76
ENSG00000260091.1	1.42	2.1	2.55	3.83	1.54	0.47	0.7	0	0.28	0.49	1.47	1.1
ENSG00000260093.1	0.94	0.74	0.76	0.52	0.43	1.01	0.72	0.77	0.38	0.48	0.99	0.56
ENSG00000260097.2	0	3.23	1.9	0	2.58	2.02	0	1.06	0	0	9.68	0
ENSG00000260101.1	1.4	1.06	0.73	1.19	0.91	1.02	1.27	0.63	0.79	1.25	0.44	1.39
ENSG00000260103.2	11.46	14.25	12.11	11.01	12.57	5.13	6.71	9.35	6.8	9.63	18.38	9.44
ENSG00000260107.1	1.14	0	1.52	0	0	1.9	1.24	0	0	4.92	0.4	1.14
ENSG00000260114.2	4.44	6.03	4.89	6.29	3.84	4.28	2.29	4.43	3.28	4.29	7.65	4.99
ENSG00000260121.1	1.49	2.05	1.06	2.22	1.23	0.19	0.13	0	0.46	0.67	1.9	1.49
ENSG00000260126.1	0.24	0.12	0.19	0.66	1.01	0	0.22	0	0.25	0	1.44	0.13
ENSG00000260128.5	0.66	1	1.64	0.74	0.68	2.19	0.28	0	0.45	1.08	0.24	2.74
ENSG00000260132.1	0.34	5.24	2.59	0.44	1.56	0	0	0	1.09	3.97	3.43	3.14
